id;x;y;bio02;bio04;bio06;bio09;bio12;bio15;bio16;acap;aset;aste;catr;ccor;cdel;cfee;chir;cleu;cpha;cvil;sgar;dsel
1;-52.4258003234863;-29.7175006866455;10.1500000158946;392.812319017722;9.19999980926514;15.1000000635783;1364;30.8988518902261;478;1;0;0;0;0;0;0;0;0;0;0;0;0
2;-50.5835990905762;-29.4480991363525;9.19166696071625;315.58837833192;6;16.2166666984558;2110;9.36955632651122;561;1;0;0;0;0;0;0;0;0;0;0;0;0
3;-50.1446990966797;-29.0478000640869;9.69166656335195;302.129749714374;6;13.3500001430511;1834;10.9578294682589;507;1;0;0;0;0;0;0;0;0;0;0;0;0
4;-49.371953;-28.014175;9.50833328564962;292.981990639234;5.40000009536743;11.0833333333333;1656;21.5259772588317;529;1;0;0;0;0;0;0;0;0;0;0;0;0
5;-50.326099395752;-27.8160991668701;10.6666666666667;333.451878048976;5.69999980926514;12.25;1439;15.7091787416299;412;1;0;0;0;0;0;0;0;0;0;0;0;0
6;-49.6356010437012;-25.5839004516602;11.2583332856496;298.126413301882;7.40000009536743;14.300000111262;1339;27.3206226517942;459;1;0;0;0;0;0;0;0;0;0;0;0;0
7;-48.834400177002;-25.476900100708;8.22500014305115;306.387497735409;12.8999996185303;17.5166665712992;1737;42.8164794082808;705;1;0;0;0;0;0;0;0;0;0;0;0;0
8;-48.833333;-25.25;10.0666665633519;269.994393757696;4.80000019073486;10.25;1959;32.6412809618601;698;1;0;0;0;0;0;0;0;0;0;0;0;0
9;-49.3142013549805;-25.1900005340576;11.2500001589457;289.688971785303;7.69999980926514;13.9499999682109;1640;33.1782587187359;589;1;0;0;0;0;0;0;0;0;0;0;0;0
10;-50.1618995666504;-25.0949993133545;11.9416668812434;301.663009124868;6.90000009536743;13.5666666825612;1490;27.4376137762412;509;1;0;0;0;0;0;0;0;0;0;0;0;0
11;-49.5178;-27.0569;10.5333333015442;334.164491155003;9.30000019073486;15.3833333651225;1616;19.7992880151039;507;1;0;0;0;0;0;0;0;0;0;0;0;0
12;-49.0769004821777;-25.3656005859375;10.449999888738;279.227825358278;8.60000038146973;14.2333334287008;1738;32.2568541277497;615;1;0;0;0;0;0;0;0;0;0;0;0;0
13;-50.6333;-29.3667;9.57500004768372;320.741034178031;6.40000009536743;18.4499998092651;2024;9.35066430526114;544;1;0;0;0;0;0;0;0;0;0;0;0;0
14;-49.4892;-27.79719;10.0333332220713;307.973587746262;6.40000009536743;12.2333331902822;1598;22.0688713377043;514;1;0;0;0;0;0;0;0;0;0;0;0;0
15;-49.528301;-25.458599;11.0750000079473;294.842985672028;7.30000019073486;14.1499999364217;1513;30.6609222804904;542;1;0;0;0;0;0;0;0;0;0;0;0;0
16;-49.705799;-24.2511;13.6000001430511;291.324046591768;6;14.7499998410543;1327;39.9428598812274;511;1;0;0;0;0;0;0;0;0;0;0;0;0
17;-52.3424987792969;-31.771900177002;8.24166639645894;405.566159199366;9.39999961853027;21.2499996821086;1388;17.38785962497;394;0;1;0;0;0;0;0;0;0;0;0;0;0
18;-52.333333;-31.766667;8.18333315849304;406.198199852411;9.5;21.266666730245;1377;17.4237961383142;393;0;1;0;0;0;0;0;0;0;0;0;0;0
19;-51.812198638916;-30.8511009216309;9.01666673024496;390.261183914525;9.19999980926514;21.4500002861023;1422;11.3146672762076;383;0;1;0;0;0;0;0;0;0;0;0;0;0
20;-51.883333;-30.683333;8.78333361943563;380.561783730413;8.19999980926514;20.1666666666667;1466;10.1633553613736;396;0;1;0;0;0;0;0;0;0;0;0;0;0
21;-52.565833;-30.555556;9.55833319822947;418.281812224104;6.80000019073486;17.7833334604899;1522;12.4531713802046;432;0;1;0;0;0;0;0;0;0;0;0;0;0
22;-52.683333;-30.5;9.63333360354106;415.045620907895;7.5;18.5333333015442;1480;10.6884621713223;400;0;1;0;0;0;0;0;0;0;0;0;0;0
23;-50.2696990966797;-29.8866996765137;8.52499969800313;338.623270021091;10.5;20.4999998410543;1520;12.1866556266768;410;0;1;0;0;0;0;0;0;0;0;0;0;0
24;-50.435001373291;-29.7900009155273;8.93333331743876;338.516144425264;10.3000001907349;20.4499998092651;1547;11.776612290077;414;0;1;0;0;0;0;0;0;0;0;0;0;0
25;-51.1472015380859;-29.7602996826172;9.84999974568685;357.814284512649;9.80000019073486;17.9000000953674;1514;10.5653415819533;422;0;1;0;0;0;0;0;0;0;0;0;0;0
26;-50.365278;-29.730833;8.42499987284342;322.223276974492;9;18.5166665712992;1726;10.8964240030402;462;0;1;0;0;0;0;0;0;0;0;0;0;0
27;-50.291056;-29.706944;8.19166672229767;314.144745030595;7.90000009536743;17.149999777476;1882;10.4381993918496;502;0;1;0;0;0;0;0;0;0;0;0;0;0
28;-51.4611015319824;-29.6886005401611;9.87500023841858;361.753670639212;9.60000038146973;15.8666666348775;1457;13.9912650119433;433;0;1;0;0;0;0;0;0;0;0;0;0;0
29;-53.8069000244141;-29.6842002868652;10.2750004132589;403.158691616701;8.89999961853027;16.9499999682109;1697;5.83998039419135;439;0;1;0;0;0;0;0;0;0;0;0;0;0
30;-53.8;-29.683333;10.2666670481364;400.782372084116;9;17.0499997138977;1667;5.74570805489571;434;0;1;0;0;0;0;0;0;0;0;0;0;0
31;-51.052778;-29.678889;9.97500006357829;356.583895055203;9.69999980926514;21.4166663487752;1532;9.98792405023082;420;0;1;0;0;0;0;0;0;0;0;0;0;0
32;-50.018056;-29.678889;7.75833304723104;330.75986729211;11;20.266666730245;1475;12.5701784127197;402;0;1;0;0;0;0;0;0;0;0;0;0;0
33;-51.1305999755859;-29.6783008575439;10.0500000317891;360.375434536256;9.60000038146973;17.7833333015442;1533;10.9748174964259;430;0;1;0;0;0;0;0;0;0;0;0;0;0
34;-51.019167;-29.677222;9.85833319028219;352.020963700096;9.69999980926514;21.0999999046326;1536;9.53433940819606;414;0;1;0;0;0;0;0;0;0;0;0;0;0
35;-50.2071990966797;-29.6749992370605;8.15833322207133;328.242292991258;11;20.25;1509;12.1905618464398;409;0;1;0;0;0;0;0;0;0;0;0;0;0
36;-50.4524993896484;-29.6410999298096;8.74166655540466;326.072542248923;10;19.7833334604899;1600;11.12934723693;430;0;1;0;0;0;0;0;0;0;0;0;0;0
37;-51.0069007873535;-29.6380996704102;9.65833369890849;344.931657550106;10;21.0333334604899;1555;10.5479596730478;426;0;1;0;0;0;0;0;0;0;0;0;0;0
38;-51.0853004455566;-29.5802993774414;9.51666665077209;340.551014345816;9.39999961853027;16.9500001271566;1577;10.2209096877407;431;0;1;0;0;0;0;0;0;0;0;0;0;0
39;-51.0807991027832;-29.5380992889404;9.16666626930237;328.960723084939;8.10000038146973;15.1999996503194;1749;10.0659272363238;471;0;1;0;0;0;0;0;0;0;0;0;0;0
40;-50.109453;-29.510844;8.18333387374878;324.939379731662;10.8999996185303;20.0333334604899;1515;12.7691757781469;420;0;1;0;0;0;0;0;0;0;0;0;0;0
41;-50.974481;-29.503944;9.06666707992554;327.895027675498;8.39999961853027;15.4500001271566;1728;9.87654854797001;466;0;1;0;0;0;0;0;0;0;0;0;0;0
42;-54.689998626709;-29.4974994659424;10.6166663964589;405.764345996603;8.69999980926514;24;1728;7.28676625743831;450;0;1;0;0;0;0;0;0;0;0;0;0;0
43;-50.615833;-29.4625;8.50833364327749;313.391445636447;6.59999990463257;17.9166666666667;2092;9.16858121842576;558;0;1;0;0;0;0;0;0;0;0;0;0;0
44;-50.555067;-29.45375;9.25833332538605;320.429121448195;6.90000009536743;17.1499999364217;1977;9.70139089272927;528;0;1;0;0;0;0;0;0;0;0;0;0;0
45;-51.8064002990723;-29.4480991363525;10.241666952769;369.498782799459;9.30000019073486;15.1333335240682;1408;23.275609143312;457;0;1;0;0;0;0;0;0;0;0;0;0;0
46;-50.5835990905762;-29.4480991363525;9.19166696071625;315.58837833192;6;16.2166666984558;2110;9.36955632651122;561;0;1;0;0;0;0;0;0;0;0;0;0;0
47;-51.5113983154297;-29.4382991790771;9.48333303133647;341.389767240373;7.80000019073486;13.6499999364217;1622;12.5369539873544;463;0;1;0;0;0;0;0;0;0;0;0;0;0
48;-50.55;-29.433333;9.68333331743876;318.892510953447;5.80000019073486;16.3166667620341;2103;9.42944832932645;559;0;1;0;0;0;0;0;0;0;0;0;0;0
49;-50.395556;-29.418889;9.49166651566823;314.710950052613;5.90000009536743;16.2166666984558;2078;9.81994698335685;551;0;1;0;0;0;0;0;0;0;0;0;0;0
50;-49.913056;-29.417778;7.94166668256124;328.373811688126;11.3000001907349;20.3499997456868;1455;14.5415362598173;417;0;1;0;0;0;0;0;0;0;0;0;0;0
51;-49.914192;-29.416453;7.95000004768372;327.767937458957;11.3000001907349;16.0666666030884;1457;14.3888455133682;417;0;1;0;0;0;0;0;0;0;0;0;0;0
52;-49.90825;-29.40985;7.95000004768372;328.972237238035;11.1999998092651;16.0499998728434;1453;14.3603330372143;415;0;1;0;0;0;0;0;0;0;0;0;0;0
53;-50.071111;-29.370278;8.79999991257985;299.551435957733;6.30000019073486;15.7666665712992;1928;10.8246083804814;530;0;1;0;0;0;0;0;0;0;0;0;0;0
54;-49.8497222;-29.3694444;7.89166665077209;329.837829278025;11.1999998092651;16;1440;14.934354329627;414;0;1;0;0;0;0;0;0;0;0;0;0;0
55;-50.815601348877;-29.3656005859375;8.81666652361552;320.149106973733;6.69999980926514;18.4666665395101;1992;9.87900224845671;545;0;1;0;0;0;0;0;0;0;0;0;0;0
